,Location,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category
1526,Westminster,Sticks’n’Sushi,,51.497259868958906,-0.1434059276034998,Sushi Restaurant
1527,Westminster,The Other Naughty Piglet,,51.498907301025916,-0.14213296601980255,Modern European Restaurant
1529,Westminster,Ichiriki Sushi House,,51.49734009769125,-0.13384662202821634,Sushi Restaurant
1538,Westminster,Tozi,,51.49409400976286,-0.1413354102987796,Italian Restaurant
1542,Westminster,Aster,,51.49669557706258,-0.143225356717805,Scandinavian Restaurant
1546,Westminster,Timmy Green,,51.49790250133684,-0.14357279445482526,Australian Restaurant
1547,Westminster,A Wong,,51.493054,-0.140799,Chinese Restaurant
1558,Westminster,Rosa's Thai Cafe,,51.493732,-0.141673,Thai Restaurant
1561,Westminster,Dragon Inn Club,,51.493046,-0.13957009,Chinese Restaurant
1562,Westminster,The Curry Room,,51.4982903,-0.1435427,Indian Restaurant
1566,Westminster,Hai Cenato,,51.497138445568766,-0.14382853094597967,Italian Restaurant
1567,Westminster,Giraffe,,51.49388246840379,-0.14192300738878705,Restaurant
1574,Westminster,Laos Cafe,,51.493768,-0.141835,Restaurant
1577,Westminster,Loco Mexicano,,51.493041489161804,-0.1409746836115283,Mexican Restaurant
1578,Westminster,Nando's,,51.49334358,-0.14172562,Portuguese Restaurant
